IP ЕижЗ,вбЗЂЫЭ,вбНгЪе,ЖЊАќТЪ,ЦНОљбгГй,ЯТдиЫйЖШ(MB/s),Ъ§ОнжааФ
123.111.169.70,4,4,0,39.76,,
123.254.106.203,4,4,0,40.1,,
8.223.63.150,4,4,0,40.42,,
43.154.131.189,4,4,0,41.18,,
149.104.4.121,4,4,0,41.25,,
221.139.87.28,4,4,0,41.6,,
149.104.5.163,4,4,0,41.86,,
47.57.181.17,4,4,0,42.35,,
43.161.214.157,4,4,0,42.54,,
206.237.21.224,4,4,0,42.57,,
143.14.106.97,4,4,0,43.72,,
13.230.34.30,4,4,0,43.89,,
13.115.8.228,4,4,0,43.93,,
220.135.92.105,4,4,0,44.22,,
152.32.133.246,4,4,0,44.68,,
68.64.178.42,4,4,0,44.71,,
159.138.1.166,4,4,0,44.87,,
8.217.180.234,4,4,0,45.19,,
8.223.63.189,4,4,0,45.27,,
47.76.218.163,4,4,0,45.59,,
149.104.28.99,4,4,0,46.32,,
43.161.219.53,4,4,0,46.77,,
149.104.31.162,4,4,0,47.61,,
83.229.123.217,4,4,0,48.43,,
82.40.44.171,4,4,0,48.81,,
38.147.176.215,4,4,0,49.07,,
103.118.42.35,4,4,0,49.08,,
188.253.118.197,4,4,0,49.17,,
38.47.123.127,4,4,0,49.7,,
149.104.30.17,4,4,0,50,,
83.229.122.50,4,4,0,51.08,,
68.64.179.210,4,4,0,51.39,,
83.229.122.219,4,4,0,52.81,,
47.57.182.141,4,4,0,53.4,,
126.220.82.161,4,4,0,59.49,,
54.199.22.197,4,4,0,60.61,,
114.33.57.170,4,4,0,61.59,,
125.228.236.138,4,4,0,63.89,,
142.248.151.78,4,4,0,66.01,,
8.219.155.125,4,4,0,68.61,,
34.143.159.175,4,4,0,74.6,,
8.222.193.153,4,4,0,75.1,,
47.236.119.109,4,4,0,76.9,,
188.239.43.6,4,4,0,78.87,,
52.221.156.212,4,4,0,80.35,,
47.130.9.238,4,4,0,80.7,,
52.77.114.70,4,4,0,83.13,,
3.39.167.228,4,4,0,83.26,,
103.241.62.245,4,4,0,85.37,,
154.31.116.217,4,4,0,90.73,,
59.3.3.161,4,4,0,97.43,,
64.120.95.193,4,4,0,97.97,,
158.51.109.181,4,4,0,98.51,,
158.51.110.12,4,4,0,99.45,,
23.111.14.164,4,4,0,99.47,,
23.111.14.162,4,4,0,99.91,,
221.139.87.28,4,4,0,38.27,,
43.154.131.189,4,4,0,38.9,,
8.223.63.150,4,4,0,39.99,,
8.223.63.189,4,4,0,40.31,,
123.111.169.70,4,4,0,41.71,,
8.217.180.234,4,4,0,42.02,,
43.161.219.53,4,4,0,42.64,,
43.161.214.157,4,4,0,43.93,,
206.237.21.224,4,4,0,44.71,,
123.254.106.203,4,4,0,44.81,,
47.57.181.17,4,4,0,45.06,,
38.47.123.127,4,4,0,45.23,,
149.104.5.163,4,4,0,45.7,,
47.76.218.163,4,4,0,45.79,,
103.118.42.35,4,4,0,46.24,,
152.32.133.246,4,4,0,46.31,,
159.138.1.166,4,4,0,46.57,,
143.14.106.97,4,4,0,46.59,,
47.57.182.141,4,4,0,46.8,,
149.104.30.17,4,4,0,48.54,,
13.230.34.30,4,4,0,48.66,,
83.229.122.219,4,4,0,49.47,,
82.40.44.171,4,4,0,49.55,,
188.253.118.197,4,4,0,49.64,,
54.199.22.197,4,4,0,50.24,,
83.229.123.217,4,4,0,52.05,,
38.147.176.215,4,4,0,52.24,,
68.64.179.210,4,4,0,52.79,,
13.115.8.228,4,4,0,53.13,,
149.104.28.99,4,4,0,54.39,,
149.104.31.162,4,4,0,54.74,,
68.64.178.42,4,4,0,55.49,,
220.135.92.105,4,4,0,57.33,,
83.229.122.50,4,4,0,57.88,,
114.33.57.170,4,4,0,58.06,,
125.228.236.138,4,4,0,63.49,,
126.220.82.161,4,4,0,65.82,,
8.219.155.125,4,4,0,71.33,,
34.143.159.175,4,4,0,72.88,,
47.236.119.109,4,4,0,73.11,,
3.39.167.228,4,4,0,74.77,,
8.222.193.153,4,4,0,75.74,,
23.111.14.164,4,4,0,76.58,,
52.77.114.70,4,4,0,77.57,,
47.130.9.238,4,4,0,78.85,,
188.239.43.6,4,4,0,80.01,,
52.221.156.212,4,4,0,80.23,,
149.104.4.121,4,4,0,88.14,,
103.241.62.245,4,4,0,89.58,,
154.31.116.217,4,4,0,92.91,,
23.111.14.162,4,4,0,93.02,,
20.6.12.145,4,4,0,98.66,,
